Drug_ID,Drug_name,Disease_ID,Disease_name,Model,Total_Abstracts,Analyzed,Positive,Neutral,Negative,Overall_Assessment,Total_Analyzed,Rate_Positive,Rate_Neutral,Rate_Negative,Criterion_1,Criterion_2,Display_Rate_Pos,Display_Rate_Neu,Display_Rate_Neg
17584.0,Adalimumab,28780,Alzheimer disease,Hetio,49,49,0,49,0,Neutral,49,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14632.0,Adenosine phosphate ,28780,Alzheimer disease,TxGNN,200,200,0,200,0,Neutral,200,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
20162.0,Alirocumab,28780,Alzheimer disease,TxGNN,2,2,0,1,1,Inconclusive,2,0.0,0.5,0.5,Potentially Adverse Effect,No Positive Sign,0.0%,50.0%,50.0%
14220.0,Apomorphine,28780,Alzheimer disease,TxGNN,9,9,1,8,0,Neutral,9,0.1111111111111111,0.8888888888888888,0.0,Potentially Therapeutic,Potentially Therapeutic,11.1%,88.9%,0.0%
14871.0,Aprotinin,28780,Alzheimer disease,CompGCN,15,15,0,15,0,Neutral,15,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14139.0,Benzatropine,28780,Alzheimer disease,Hetio,2,2,0,1,1,Inconclusive,2,0.0,0.5,0.5,Potentially Adverse Effect,No Positive Sign,0.0%,50.0%,50.0%
14288.0,Benzylpenicillin,28780,Alzheimer disease,Hetio,200,200,0,200,0,Neutral,200,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14019.0,Betamethasone,28780,Alzheimer disease,Hetio,4,4,0,3,1,Neutral,4,0.0,0.75,0.25,Potentially Adverse Effect,No Positive Sign,0.0%,75.0%,25.0%
14956.0,Carbamazepine,28780,Alzheimer disease,CompGCN,39,39,6,32,1,Neutral,39,0.15384615384615385,0.8205128205128205,0.02564102564102564,Potentially Therapeutic,Potentially Therapeutic,15.4%,82.1%,2.6%
17524.0,Carmustine*,28780,Alzheimer disease,Hetio,2,2,1,1,0,Inconclusive,2,0.5,0.5,0.0,Potentially Therapeutic,Potentially Therapeutic,50.0%,50.0%,0.0%
14178.0,Chlorpromazine ,28780,Alzheimer disease,TxGNN,23,23,1,21,1,Neutral,23,0.043478260869565216,0.9130434782608695,0.043478260869565216,Potentially Therapeutic,Potentially Therapeutic,4.3%,91.3%,4.3%
15826.0,Dalfampridine,28780,Alzheimer disease,TxGNN,28,28,0,28,0,Neutral,28,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14320.0,Dexamethasone,28780,Alzheimer disease,Hetio,54,54,0,43,11,Neutral,54,0.0,0.7962962962962963,0.2037037037037037,Potentially Adverse Effect,No Positive Sign,0.0%,79.6%,20.4%
15104.0,Dextromethorphan,28780,Alzheimer disease,CompGCN,200,200,0,199,1,Neutral,200,0.0,0.995,0.005,Neutral Relation,No Positive Sign,0.0%,99.5%,0.5%
14275.0,Doxorubicin,28780,Alzheimer disease,Hetio,36,36,0,34,2,Neutral,36,0.0,0.9444444444444444,0.05555555555555555,Potentially Adverse Effect,No Positive Sign,0.0%,94.4%,5.6%
15425.0,Doxycycline,28780,Alzheimer disease,Hetio,90,90,6,82,2,Neutral,90,0.06666666666666667,0.9111111111111111,0.022222222222222223,Potentially Therapeutic,Potentially Therapeutic,6.7%,91.1%,2.2%
14831.0,Droxidopa,28780,Alzheimer disease,TxGNN,6,6,3,3,0,Inconclusive,6,0.5,0.5,0.0,Potentially Therapeutic,Potentially Therapeutic,50.0%,50.0%,0.0%
14499.0,Elexacaftor,28780,Alzheimer disease,TxGNN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
15180.0,Fusidic acid,28780,Alzheimer disease,Hetio,3,3,0,3,0,Neutral,3,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14952.0,Haloperidol,28780,Alzheimer disease,CompGCN,30,30,1,24,5,Neutral,30,0.03333333333333333,0.8,0.16666666666666666,Potentially Adverse Effect,Potentially Therapeutic,3.3%,80.0%,16.7%
15412.0,Histamine,28780,Alzheimer disease,Hetio,61,61,1,60,0,Neutral,61,0.01639344262295082,0.9836065573770492,0.0,Potentially Therapeutic,Potentially Therapeutic,1.6%,98.4%,0.0%
14028.0,Hydrocortisone,28780,Alzheimer disease,Hetio,142,142,0,134,8,Neutral,142,0.0,0.9436619718309859,0.056338028169014086,Potentially Adverse Effect,No Positive Sign,0.0%,94.4%,5.6%
14042.0,Hydrocortisone acetate,28780,Alzheimer disease,Hetio,1,1,0,0,1,Negative,1,0.0,0.0,1.0,Potentially Adverse Effect,No Positive Sign,0.0%,0.0%,100.0%
14452.0,Istradefylline ,28780,Alzheimer disease,TxGNN,4,4,2,1,1,Likely Positive,4,0.5,0.25,0.25,Potentially Therapeutic,Potentially Therapeutic,50.0%,25.0%,25.0%
14487.0,Magnesium,28780,Alzheimer disease,CompGCN,200,200,6,193,1,Neutral,200,0.03,0.965,0.005,Potentially Therapeutic,Potentially Therapeutic,3.0%,96.5%,0.5%
15818.0,Memantine,28780,Alzheimer disease,CompGCN,200,200,38,154,8,Neutral,200,0.19,0.77,0.04,Potentially Therapeutic,Potentially Therapeutic,19.0%,77.0%,4.0%
14269.0,Methylprednisolone,28780,Alzheimer disease,Hetio,8,8,0,7,1,Neutral,8,0.0,0.875,0.125,Potentially Adverse Effect,No Positive Sign,0.0%,87.5%,12.5%
15914.0,Minocycline,28780,Alzheimer disease,CompGCN,24,24,8,14,2,Inconclusive,24,0.3333333333333333,0.5833333333333334,0.08333333333333333,Potentially Therapeutic,Potentially Therapeutic,33.3%,58.3%,8.3%
14238.0,Naproxen,28780,Alzheimer disease,Hetio,37,37,2,28,7,Neutral,37,0.05405405405405406,0.7567567567567568,0.1891891891891892,Potentially Adverse Effect,Potentially Therapeutic,5.4%,75.7%,18.9%
14861.0,Neostigmine,28780,Alzheimer disease,CompGCN,5,5,1,4,0,Neutral,5,0.2,0.8,0.0,Potentially Therapeutic,Potentially Therapeutic,20.0%,80.0%,0.0%
14843.0,Nizatidine,28780,Alzheimer disease,CompGCN,1,1,0,0,1,Negative,1,0.0,0.0,1.0,Potentially Adverse Effect,No Positive Sign,0.0%,0.0%,100.0%
15322.0,Norfloxacin,28780,Alzheimer disease,Hetio,10,10,0,10,0,Neutral,10,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
15326.0,Ofloxacin,28780,Alzheimer disease,Hetio,8,8,0,8,0,Neutral,8,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
15036.0,Olaparib,28780,Alzheimer disease,Hetio,2,2,0,2,0,Neutral,2,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14792.0,Paclitaxel,28780,Alzheimer disease,Hetio,42,42,0,41,1,Neutral,42,0.0,0.9761904761904762,0.023809523809523808,Potentially Adverse Effect,No Positive Sign,0.0%,97.6%,2.4%
15001.0,Paliperidone,28780,Alzheimer disease,CompGCN,4,4,0,4,0,Neutral,4,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
20300.0,Perazine,28780,Alzheimer disease,CompGCN,7,7,0,7,0,Neutral,7,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
15127.0,Perphenazine,28780,Alzheimer disease,CompGCN,2,2,0,2,0,Neutral,2,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14993.0,Phenobarbital,28780,Alzheimer disease,CompGCN,8,8,0,8,0,Neutral,8,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14141.0,Phenytoin,28780,Alzheimer disease,CompGCN,8,8,0,7,1,Neutral,8,0.0,0.875,0.125,Potentially Adverse Effect,No Positive Sign,0.0%,87.5%,12.5%
17270.0,Pimavanserin ,28780,Alzheimer disease,TxGNN,8,8,1,7,0,Neutral,8,0.125,0.875,0.0,Potentially Therapeutic,Potentially Therapeutic,12.5%,87.5%,0.0%
14988.0,Pimozide,28780,Alzheimer disease,CompGCN,3,3,0,3,0,Neutral,3,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14371.0,Pirfenidone,28780,Alzheimer disease,TxGNN,2,2,0,2,0,Neutral,2,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
20568.0,Polidocanol,28780,Alzheimer disease,TxGNN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14030.0,Prednisolone,28780,Alzheimer disease,Hetio,16,16,0,16,0,Neutral,16,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14024.0,Prednisone,28780,Alzheimer disease,Hetio,7,7,0,6,1,Neutral,7,0.0,0.8571428571428571,0.14285714285714285,Potentially Adverse Effect,No Positive Sign,0.0%,85.7%,14.3%
15311.0,Primidone,28780,Alzheimer disease,CompGCN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
