Drug_ID,Drug_name,Disease_ID,Disease_name,Model,Total_Abstracts,Analyzed,Positive,Neutral,Negative,Overall_Assessment
17584.0,Adalimumab,28780,Alzheimer disease,Hetio,49,49,0,49,0,Neutral
14632.0,Adenosine phosphate ,28780,Alzheimer disease,TxGNN,200,200,0,200,0,Neutral
20162.0,Alirocumab,28780,Alzheimer disease,TxGNN,2,2,0,1,1,Inconclusive
14220.0,Apomorphine,28780,Alzheimer disease,TxGNN,9,9,1,8,0,Neutral
14871.0,Aprotinin,28780,Alzheimer disease,CompGCN,15,15,0,15,0,Neutral
14139.0,Benzatropine,28780,Alzheimer disease,Hetio,2,2,0,1,1,Inconclusive
14288.0,Benzylpenicillin,28780,Alzheimer disease,Hetio,200,200,0,200,0,Neutral
14019.0,Betamethasone,28780,Alzheimer disease,Hetio,4,4,0,3,1,Neutral
14956.0,Carbamazepine,28780,Alzheimer disease,CompGCN,39,39,6,32,1,Neutral
17524.0,Carmustine*,28780,Alzheimer disease,Hetio,2,2,1,1,0,Inconclusive
14178.0,Chlorpromazine ,28780,Alzheimer disease,TxGNN,23,23,1,21,1,Neutral
15826.0,Dalfampridine,28780,Alzheimer disease,TxGNN,28,28,0,28,0,Neutral
14320.0,Dexamethasone,28780,Alzheimer disease,Hetio,54,54,0,43,11,Neutral
15104.0,Dextromethorphan,28780,Alzheimer disease,CompGCN,200,200,0,199,1,Neutral
14275.0,Doxorubicin,28780,Alzheimer disease,Hetio,36,36,0,34,2,Neutral
15425.0,Doxycycline,28780,Alzheimer disease,Hetio,90,90,6,82,2,Neutral
14831.0,Droxidopa,28780,Alzheimer disease,TxGNN,6,6,3,3,0,Inconclusive
14499.0,Elexacaftor,28780,Alzheimer disease,TxGNN,1,1,0,1,0,Neutral
15180.0,Fusidic acid,28780,Alzheimer disease,Hetio,3,3,0,3,0,Neutral
14952.0,Haloperidol,28780,Alzheimer disease,CompGCN,30,30,1,24,5,Neutral
15412.0,Histamine,28780,Alzheimer disease,Hetio,61,61,1,60,0,Neutral
14028.0,Hydrocortisone,28780,Alzheimer disease,Hetio,142,142,0,134,8,Neutral
14042.0,Hydrocortisone acetate,28780,Alzheimer disease,Hetio,1,1,0,0,1,Negative
14452.0,Istradefylline ,28780,Alzheimer disease,TxGNN,4,4,2,1,1,Likely Positive
14487.0,Magnesium,28780,Alzheimer disease,CompGCN,200,200,6,193,1,Neutral
15818.0,Memantine,28780,Alzheimer disease,CompGCN,200,200,38,154,8,Neutral
14269.0,Methylprednisolone,28780,Alzheimer disease,Hetio,8,8,0,7,1,Neutral
15914.0,Minocycline,28780,Alzheimer disease,CompGCN,24,24,8,14,2,Inconclusive
14238.0,Naproxen,28780,Alzheimer disease,Hetio,37,37,2,28,7,Neutral
14861.0,Neostigmine,28780,Alzheimer disease,CompGCN,5,5,1,4,0,Neutral
14843.0,Nizatidine,28780,Alzheimer disease,CompGCN,1,1,0,0,1,Negative
15322.0,Norfloxacin,28780,Alzheimer disease,Hetio,10,10,0,10,0,Neutral
15326.0,Ofloxacin,28780,Alzheimer disease,Hetio,8,8,0,8,0,Neutral
15036.0,Olaparib,28780,Alzheimer disease,Hetio,2,2,0,2,0,Neutral
14792.0,Paclitaxel,28780,Alzheimer disease,Hetio,42,42,0,41,1,Neutral
15001.0,Paliperidone,28780,Alzheimer disease,CompGCN,4,4,0,4,0,Neutral
20300.0,Perazine,28780,Alzheimer disease,CompGCN,7,7,0,7,0,Neutral
15127.0,Perphenazine,28780,Alzheimer disease,CompGCN,2,2,0,2,0,Neutral
14993.0,Phenobarbital,28780,Alzheimer disease,CompGCN,8,8,0,8,0,Neutral
14141.0,Phenytoin,28780,Alzheimer disease,CompGCN,8,8,0,7,1,Neutral
17270.0,Pimavanserin ,28780,Alzheimer disease,TxGNN,8,8,1,7,0,Neutral
14988.0,Pimozide,28780,Alzheimer disease,CompGCN,3,3,0,3,0,Neutral
14371.0,Pirfenidone,28780,Alzheimer disease,TxGNN,2,2,0,2,0,Neutral
20568.0,Polidocanol,28780,Alzheimer disease,TxGNN,1,1,0,1,0,Neutral
14030.0,Prednisolone,28780,Alzheimer disease,Hetio,16,16,0,16,0,Neutral
14024.0,Prednisone,28780,Alzheimer disease,Hetio,7,7,0,6,1,Neutral
15311.0,Primidone,28780,Alzheimer disease,CompGCN,1,1,0,1,0,Neutral
14852.0,Procainamide,28780,Alzheimer disease,CompGCN,2,2,0,2,0,Neutral
17170.0,Pyridostigmine,28780,Alzheimer disease,CompGCN,2,2,0,2,0,Neutral
15308.0,Riluzole,28780,Alzheimer disease,CompGCN,7,7,2,5,0,Neutral
15291.0,Ropinirole,28780,Alzheimer disease,CompGCN,1,1,0,1,0,Neutral
14904.0,Safinamide ,28780,Alzheimer disease,TxGNN,2,2,0,2,0,Neutral
20652.0,Sivelestat,28780,Alzheimer disease,TxGNN,1,1,0,1,0,Neutral
20500.0,Succinimide,28780,Alzheimer disease,TxGNN,3,3,0,3,0,Neutral
14208.0,Testosterone,28780,Alzheimer disease,Hetio,103,103,5,97,1,Neutral
15185.0,Tetrabenazine,28780,Alzheimer disease,TxGNN,1,1,0,1,0,Neutral
15772.0,Tolcapone,28780,Alzheimer disease,TxGNN,3,3,0,3,0,Neutral
14875.0,Tretamine,28780,Alzheimer disease,CompGCN,194,194,0,194,0,Neutral
14875.0,Tretamine,28780,Alzheimer disease,Hetio,194,194,0,194,0,Neutral
14023.0,Triamcinolone,28780,Alzheimer disease,Hetio,1,1,0,1,0,Neutral
15679.0,Vinpocetine ,28780,Alzheimer disease,TxGNN,8,8,0,8,0,Neutral
15099.0,Zolpidem,28780,Alzheimer disease,CompGCN,3,3,0,1,2,Negative
15399.0,Acefylline,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,Neutral
16036.0,Acetylcysteine,99214,cardiomyopathy due to anthracyclines,CompGCN,128,128,11,113,4,Neutral
16219.0,Alprostadil,99214,cardiomyopathy due to anthracyclines,CompGCN,11,11,0,11,0,Neutral
14302.0,Amiodarone,99214,cardiomyopathy due to anthracyclines,CompGCN,200,200,0,185,15,Neutral
14302.0,Amiodarone,99214,cardiomyopathy due to anthracyclines,eAICTable1only,200,200,0,185,15,Neutral
17222.0,Amrinone,99214,cardiomyopathy due to anthracyclines,eAICTable1only,1,1,0,1,0,Neutral
19882.0,Anisomycin,99214,cardiomyopathy due to anthracyclines,eAICTable1only,1,1,0,0,1,Negative
15160.0,Arformoterol,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,Neutral
14128.0,Ascorbic acid,99214,cardiomyopathy due to anthracyclines,CompGCN,64,64,6,56,2,Neutral
14783.0,Caffeine,99214,cardiomyopathy due to anthracyclines,CompGCN,59,59,0,49,10,Neutral
14956.0,Carbamazepine,99214,cardiomyopathy due to anthracyclines,CompGCN,6,6,0,6,0,Neutral
14956.0,Carbamazepine,99214,cardiomyopathy due to anthracyclines,eAICTable1only,6,6,0,6,0,Neutral
14653.0,Choline,99214,cardiomyopathy due to anthracyclines,CompGCN,36,36,0,36,0,Neutral
14991.0,Cilostazol,99214,cardiomyopathy due to anthracyclines,TxGNN,6,6,1,5,0,Neutral
14186.0,Cisplatin,99214,cardiomyopathy due to anthracyclines,CompGCN,40,40,0,31,9,Neutral
14686.0,Clomifene,99214,cardiomyopathy due to anthracyclines,CompGCN,1,1,0,1,0,Neutral
14198.0,Clonidine,99214,cardiomyopathy due to anthracyclines,eAICTable1only,14,14,0,13,1,Neutral
14934.0,Cyclosporine,99214,cardiomyopathy due to anthracyclines,CompGCN,167,167,3,161,3,Neutral
16281.0,Cysteine,99214,cardiomyopathy due to anthracyclines,CompGCN,200,200,3,197,0,Neutral
14780.0,Cytarabine,99214,cardiomyopathy due to anthracyclines,CompGCN,27,27,0,22,5,Neutral
14794.0,Dasatinib,99214,cardiomyopathy due to anthracyclines,CompGCN,11,11,1,10,0,Neutral
14794.0,Dasatinib,99214,cardiomyopathy due to anthracyclines,eAICTable2,11,11,1,10,0,Neutral
14320.0,Dexamethasone,99214,cardiomyopathy due to anthracyclines,CompGCN,115,115,1,103,11,Neutral
